curvature,fit,iter,len,mean_access_cost,mean_train_cost,mean_train_dist,total,transport
0.0,0.003131881821900606,0.0,7.934567451477051,0.09177172183990479,2.8538074493408203,14.269033432006836,8.232256889343262,0.2945578694343567
0.0,0.008018353953957558,10.0,6.030274391174316,0.1558551788330078,2.2906112670898438,11.453056335449219,6.282939434051514,0.24464662373065948
0.0,0.018730230629444122,20.0,3.7794415950775146,0.24109557271003723,1.358360767364502,6.791804313659668,3.9581174850463867,0.15994563698768616
0.0,0.03210483118891716,30.0,2.6068317890167236,0.3061106204986572,0.9544589519500732,4.772294044494629,2.76499342918396,0.1260569542646408
0.0,0.048379573971033096,40.0,2.1463098526000977,0.3726973235607147,0.7725241184234619,3.8626203536987305,2.3092117309570312,0.11452213674783707
0.0,0.06404385715723038,50.0,1.5103546380996704,0.4291163980960846,0.5381205081939697,2.6906025409698486,1.6711221933364868,0.09672370553016663
0.0,0.07904624193906784,60.0,1.4220328330993652,0.48270341753959656,0.5218042731285095,2.6090216636657715,1.601529836654663,0.1004507765173912
0.0,0.09187855571508408,70.0,1.025795817375183,0.5210493803024292,0.3642604947090149,1.8213026523590088,1.2062053680419922,0.08853098005056381
0.0,0.10298120230436325,80.0,1.0011128187179565,0.5494203567504883,0.2808837294578552,1.404418706893921,1.187124490737915,0.08303041756153107
0.0,0.1101100966334343,90.0,0.9572003483772278,0.565660297870636,0.261613667011261,1.3080682754516602,1.1500378847122192,0.08272738754749298
0.0,0.11699472367763519,100.0,0.8007367253303528,0.5800768733024597,0.22823134064674377,1.1411566734313965,0.9985622763633728,0.08083081245422363
0.0,0.12312133610248566,110.0,0.7287546992301941,0.593476414680481,0.20729738473892212,1.0364868640899658,0.9319533705711365,0.08007737249135971
0.0,0.1227421835064888,120.0,0.7571789026260376,0.588860273361206,0.24626120924949646,1.2313060760498047,0.9634332656860352,0.08351216465234756
0.0,0.12292438000440598,130.0,0.603651762008667,0.5932218432426453,0.20048931241035461,1.0024466514587402,0.8059472441673279,0.07937111705541611
0.0,0.12473905086517334,140.0,0.819516122341156,0.6000779867172241,0.25231513381004333,1.261575698852539,1.0294945240020752,0.08523931354284286
0.0,0.12766356766223907,150.0,0.7977797389030457,0.6046310067176819,0.2679162621498108,1.3395813703536987,1.0126980543136597,0.08725472539663315
0.0,0.12989205121994019,160.0,0.7105015516281128,0.6103765964508057,0.2423732876777649,1.2118663787841797,0.9256685972213745,0.08527499437332153
0.0,0.1327572762966156,170.0,0.6404737830162048,0.6179062724113464,0.21660825610160828,1.0830411911010742,0.8566824793815613,0.08345145732164383
0.0,0.1356755942106247,180.0,0.6160473227500916,0.6215263605117798,0.20852506160736084,1.0426254272460938,0.8347280621528625,0.0830051451921463
0.0,0.13557608425617218,190.0,0.5554055571556091,0.6233624219894409,0.18867141008377075,0.9433571696281433,0.7721850275993347,0.0812033861875534
0.0,0.13695433735847473,200.0,0.7090370059013367,0.6304745674133301,0.20846572518348694,1.0423287153244019,0.9298853874206543,0.0838940218091011
0.0,0.13789604604244232,210.0,0.6557266116142273,0.6318197846412659,0.20213493704795837,1.0106745958328247,0.87701815366745,0.08339547365903854
0.0,0.1403314173221588,220.0,0.6794499158859253,0.6350992918014526,0.2456771731376648,1.2283856868743896,0.9078589677810669,0.08807764202356339
0.0,0.13717572391033173,230.0,0.6604174971580505,0.6264711618423462,0.22964873909950256,1.1482436656951904,0.883205235004425,0.085611991584301
0.0,0.138172447681427,240.0,0.6596186757087708,0.6287896037101746,0.2242477983236313,1.1212389469146729,0.883094847202301,0.08530374616384506
0.0,0.1373661458492279,250.0,0.5836254358291626,0.6274765133857727,0.195017009973526,0.9750849008560181,0.803240954875946,0.08224934339523315
0.0,0.13509947061538696,260.0,0.7025168538093567,0.6219761371612549,0.23883971571922302,1.1941986083984375,0.9236978888511658,0.08608158677816391
0.0,0.14001800119876862,270.0,0.7729039192199707,0.6315103769302368,0.2654935121536255,1.327467441558838,1.002622365951538,0.08970040082931519
