curvature,fit,iter,len,total,train_maxdist
0.05987804831560504,0.07484166027309049,0.0,0.8702399752310326,1.6273786886772577,0.6224190048575297
0.05591741869784107,0.07443305471897917,10.0,0.8508738959971887,1.5897343381502522,0.6085099687362434
0.05226417315674859,0.07435344698300826,20.0,0.8329565368528472,1.5554911926074273,0.5959170356148232
0.04890427171770444,0.07463422844667138,30.0,0.8159478803996132,1.5235870516858174,0.5841006711218284
0.04581986132539755,0.07528089305503331,40.0,0.7997435040502525,1.4937641349665363,0.5729198765358529
0.042990976294432194,0.07626153814521054,50.0,0.7842787044588801,1.4658373193530931,0.5623061004545703
0.040396953405182116,0.07753788023796926,60.0,0.7695001604828052,1.4396475824643171,0.5522125883383605
0.038020604591492355,0.07908358796279148,70.0,0.7553652926995047,1.4150716388389497,0.5426021535851612
0.0358435869174651,0.08085617649554043,80.0,0.7418266090626611,1.3919692357477458,0.5334428632720792
0.03385129874771905,0.08284739404568348,90.0,0.7288568877093468,1.370269083536871,0.5247135030341217
0.03203051733046321,0.08502720796796844,100.0,0.7164219275308377,1.3498655432985551,0.5163858904692857
0.030366732701290165,0.08738854333038097,110.0,0.7044974933061655,1.3306926283089933,0.5084398589711567
0.02884786988605316,0.0899126820293246,120.0,0.6930597195567855,1.3126728227500513,0.500852551277888
0.027464496563323556,0.09257397131227481,130.0,0.682182990776857,1.2959092246778012,0.49368776602534603
0.02626097497142312,0.0949149292925916,139.0,0.6730232932636179,1.2819109645483462,0.48771176702071367
