curvature,fit,iter,len,total,train_maxdist
0.21206398689066663,0.07517215808189921,0.0,1.406073471786974,4.8239748809646175,3.130665264205078
0.18015053876626272,0.07880326383172827,10.0,1.2919706084902205,4.430325101198184,2.8794006901099722
0.15468405744718497,0.08445914638734899,20.0,1.1940664468831046,4.096470932965612,2.6632612822479733
0.13349031881847917,0.09333078416719667,30.0,1.103673802000847,3.79345880965579,2.4629639046692673
0.11620021340172026,0.10466646874039294,40.0,1.0242363017925633,3.5316686938656137,2.286565709930937
0.10236407450534762,0.11651970421148707,50.0,0.9620186721524189,3.3293490807911135,2.14844662992186
0.09038843650128793,0.1294799544302123,60.0,0.9071800934676295,3.153707070955898,2.026658586556768
0.08035871847627751,0.14361525872583586,70.0,0.8546776800694567,2.99012204273318,1.9114703854616102
0.07135427971646735,0.15882584772373776,80.0,0.8052640022229898,2.839357991195776,1.8039138615325812
0.06381485671644961,0.17518043740576136,90.0,0.7568305067436513,2.694253743922924,1.698427943057062
0.0571243239245941,0.19235832966550037,100.0,0.7117502822967372,2.5615533226298197,1.6003203867429878
0.05117065412719675,0.2102724110749869,110.0,0.6695409159760756,2.439613161111578,1.5086291799333187
0.046121222799896416,0.22858804493107032,120.0,0.6288301892111696,2.3237715005080246,1.4202320435658882
0.041794436393012654,0.24744102775966473,130.0,0.5922457181164509,2.222409478024674,1.3409282957555455
0.03856189949810939,0.26449982610050915,139.0,0.5610558744825185,2.1375248234404376,1.2734072233593003
