curvature,fit,iter,len,total,train_maxdist
0.0038921751891521387,0.28582249410418353,0.0,0.7041738182395676,1.7447176191534326,0.7508291316205293
0.0033575998352303685,0.28998096932952666,10.0,0.6804021309193731,1.7033732469502112,0.7296325468660811
0.0029763943476279362,0.2936299526605458,20.0,0.6609149474611141,1.6700570005456923,0.7125357060764044
0.0026969173575664826,0.297668344841326,30.0,0.6441339542128732,1.6425134587910444,0.6980142423792787
0.002483961593094401,0.3020951331364879,40.0,0.6290875286361312,1.6187387775773274,0.685072154211614
0.0023185159184029025,0.3066929998257845,50.0,0.6152687027863236,1.5974584304602608,0.6731782119297497
0.0021905296888475403,0.31136083962976896,60.0,0.6024091629532099,1.5780241509903834,0.662063618718557
0.0020890466265041222,0.3160203119934717,70.0,0.5906024995817518,1.5604848654850278,0.6517730072833003
0.0020056906344460127,0.32060838696220023,80.0,0.5798410126324176,1.5447428724156735,0.6422877821866096
0.0019390463924886863,0.32507411993020735,90.0,0.5696974936277399,1.529997798191373,0.6332871382409371
0.0018927049461490738,0.32937119860623154,100.0,0.5603630814310028,1.5163993451860827,0.6247723602026993
0.0018389461620016163,0.33333913975796703,110.0,0.5519900111637198,1.5043769876489614,0.617208890565273
0.001797934655264812,0.3371051056207858,120.0,0.5445099231364892,1.4934986637898737,0.6100857003773339
0.0017590872871271414,0.34070836793255427,130.0,0.5380157371841481,1.4841778024860899,0.6036946100822603
0.0017304910197899399,0.3436262093025071,140.0,0.5316901740601258,1.4746296580585865,0.5975827836761638
0.001702400136109349,0.34665295912154115,150.0,0.5264128963942598,1.4668715593525619,0.5921033037006515
0.0016855094094882534,0.349665479954796,160.0,0.520859325522805,1.4587812037249543,0.5865708888378649
0.0016652837639348351,0.3525078561617018,170.0,0.5159603527900816,1.451535740456643,0.5814022477409245
0.0016655544082046472,0.35506578852040954,179.0,0.5114605948110558,1.4447165933378823,0.5765246555982123
