curvature,fit,iter,len,total,train_maxdist
0.06349213389079911,0.07495686738251184,0.0,1.2993473210287,20.055008827530173,18.617212505228164
0.058481550709860136,0.07592558335529925,10.0,1.256221740635342,19.991401994045454,18.600773119344954
0.05388403353839339,0.07754680077673166,20.0,1.2149184792244048,19.932780630488015,18.586431316948484
0.049666455019436534,0.07981643508185873,30.0,1.174975063571656,19.877764689364554,18.573306735691602
0.045800414711602774,0.08269012071499839,40.0,1.1362082576152444,19.82565460472065,18.560955811678806
0.04225896049347549,0.08608551868335454,50.0,1.0984948434078579,19.77597654907486,18.54913722649017
0.03902606887546499,0.09003449236836344,60.0,1.0618325312360442,19.72865804440672,18.53776495192685
0.03607799752654872,0.09442653545143313,70.0,1.026146326992479,19.683404763464843,18.52675390349438
0.033387468169193565,0.09914058230948464,80.0,0.9927161590973279,19.64128084372171,18.516036634145703
0.030937768587400702,0.1042627447227017,90.0,0.960376410786803,19.601202715106535,18.505625791009628
0.028711510296763273,0.10974785854350239,100.0,0.9289643381212592,19.5629108008289,18.495487093867375
0.026690716461813733,0.1155673951747724,110.0,0.8984442263221644,19.5263146109476,18.48561227298885
0.024865023234999506,0.12156641730535628,120.0,0.869474884507786,19.4917492079195,18.47584288287136
0.02371412419126764,0.12771049676550697,130.0,0.8508267042557667,19.462985859185952,18.46073453397341
0.022269598122375764,0.13371635437599724,139.0,0.8253569476726657,19.433814239520945,18.452471339349906
